timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1533548268496313,5,14,14,12,1,-9,-44,-1
1533548268496313,1,-1,4,44,-11,15,50,8
1533548268511314,1,-4,3,9,0,0,1,4
1533548268511314,-7,-8,-1,-14,16,1,4,-3
1533548268512345,5,15,8,14,42,-3,-10,-4
1533548268512345,3,6,2,57,-18,-5,-7,-1
1533548268535314,-10,-12,-13,-44,-64,-6,-5,-1
1533548268535314,-3,-9,-1,-6,-26,9,-16,-5
1533548268535314,2,2,6,25,30,-3,22,5
1533548268535314,-1,0,2,-36,22,-7,0,-3
1533548268557344,-1,-9,-2,2,4,6,13,0
1533548268557344,-1,1,-6,-28,-14,-9,-24,-7
1533548268558344,-2,5,14,4,-62,3,36,1
1533548268558344,0,5,5,22,65,-4,2,-3
1533548268571313,-1,3,-1,34,40,3,-8,-2
1533548268571313,2,-1,-8,1,-3,-2,10,3
1533548268572344,5,5,12,12,7,4,3,8
1533548268572344,-4,-18,-20,-105,-18,12,-15,-10
1533548268594283,1,8,-12,-35,-50,7,3,3
1533548268594283,-7,-15,-1,34,118,0,-8,-1
1533548268595313,-1,-5,2,5,-54,-5,-50,1
1533548268595313,-5,6,2,23,-26,1,16,-1
1533548268617343,4,11,5,12,25,-1,-1,4
1533548268617343,3,0,6,-31,-69,8,18,-2
1533548268618344,-1,-3,-13,-22,37,-2,-16,-2
1533548268618344,2,3,9,14,-17,-9,-11,-2
1533548268631311,0,0,3,47,4,7,41,1
1533548268631311,1,-2,-7,-66,-54,5,2,4
1533548268632343,-3,-2,1,7,6,5,20,-5
1533548268632343,-1,14,8,39,-3,-5,0,-1
1533548268654282,-6,-14,-20,-56,-28,1,-3,-2
1533548268654282,6,19,8,25,59,1,-7,0
1533548268655312,-2,-11,5,35,-12,3,18,-3
1533548268655312,-3,-16,-28,-98,-65,-4,5,3
1533548268677343,-1,-2,12,61,-13,-9,-23,-2
1533548268677343,2,-1,-9,-30,10,1,4,2
1533548268678342,-5,1,-3,-3,-8,-4,-1,-3
1533548268678342,1,-2,4,-24,-31,10,-2,3
1533548268691311,-1,0,-3,22,80,3,-29,-2
1533548268691311,-3,-5,-4,-4,-21,2,65,2
1533548268692342,-2,8,6,5,19,-3,7,-14
1533548268692342,-6,-12,-1,37,51,0,28,10
1533548268714342,1,-2,-8,-15,-36,0,3,-4
1533548268714342,-2,-5,0,28,-19,-3,-26,-6
1533548268721311,-3,-7,-8,-39,-21,10,2,6
1533548268721311,2,1,2,-4,-12,-2,2,2
1533548268737341,1,11,16,24,20,-7,-17,-5
1533548268737341,-4,4,3,75,39,-12,4,0
1533548268738341,3,9,-8,-66,-35,-3,-5,-3
1533548268738341,-3,-10,-9,-40,5,3,9,1
1533548268751309,3,6,1,78,77,9,9,7
1533548268751309,3,-1,2,-48,-65,-5,-11,-2
1533548268752313,1,2,-2,36,38,4,21,7
1533548268752313,5,11,6,3,-18,2,-20,-5
1533548268774279,-4,-3,11,59,32,1,6,0
1533548268774279,-5,-9,-3,-29,-80,-9,-29,-7
1533548268775311,3,2,-5,-30,-38,17,-17,3
1533548268775311,1,9,6,-22,-34,8,0,-3
1533548268797341,-4,-3,0,22,32,1,-6,-2
1533548268797341,-2,-11,-6,-50,-26,-2,-19,-1
1533548268798341,3,3,4,42,27,-6,12,5
1533548268798341,-8,-16,-3,53,-43,4,-27,-7
1533548268811308,-2,-3,-9,-75,77,15,-7,0
1533548268811308,0,4,4,-6,-24,6,6,-2
1533548268812341,3,1,4,28,8,-5,5,0
1533548268812341,-3,-9,-2,62,49,-4,5,0
1533548268834278,0,0,-11,-78,-71,-3,-6,-4
1533548268834278,0,6,9,16,17,2,10,5
1533548268835310,-5,-6,-14,-18,42,1,1,-4
1533548268835310,4,6,0,-1,-21,0,-14,-1
1533548268857340,5,0,-3,-8,1,1,11,4
1533548268857340,4,-9,1,-2,-13,10,-13,-2
1533548268858340,-14,-32,3,42,28,-8,10,-11
1533548268858340,0,2,-11,-7,39,-7,-9,-4
1533548268871277,-2,3,9,25,14,-13,5,4
1533548268871277,-2,8,-3,-41,-15,-2,11,3
1533548268872278,1,4,-5,-29,-73,-8,-11,-2
1533548268872278,4,1,9,10,15,-2,4,0
1533548268894279,-1,-2,-5,12,12,2,5,4
1533548268894279,1,6,-1,20,2,-10,-15,-9
1533548268895308,2,1,8,37,-17,6,1,1
1533548268895308,0,1,-9,-65,39,-4,-2,4
1533548268917339,2,0,-3,-6,-24,2,12,-2
1533548268917339,-2,1,3,19,33,7,4,1
1533548268918339,1,0,15,34,4,-1,5,0
1533548268918339,3,-2,-5,-31,-10,2,3,-1
